Country,Membership Year,Latitude,Longitude,URL
Afghanistan,19 November 1946,34°31′N,69°11′E,https://en.wikipedia.org/wiki/Afghanistan
Albania,14 December 1955,41°N,20°E,https://en.wikipedia.org/wiki/Albania
Algeria,8 October 1962,28°N,2°E,https://en.wikipedia.org/wiki/Algeria
Andorra,28 July 1993,42°33′N,1°35′E,https://en.wikipedia.org/wiki/Andorra
Angola,1 December 1976,12°30′S,18°30′E,https://en.wikipedia.org/wiki/Angola
Antigua and Barbuda,11 November 1981,17°03′N,61°48′W,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Argentina,24 October 1945,34°S,64°W,https://en.wikipedia.org/wiki/Argentina
Armenia,2 March 1992,40°11′N,44°31′E,https://en.wikipedia.org/wiki/Armenia
Australia,1 November 1945,25°S,133°E,https://en.wikipedia.org/wiki/Australia
Austria,14 December 1955,47°20′N,13°20′E,https://en.wikipedia.org/wiki/Austria
Azerbaijan,2 March 1992,40°18′N,47°42′E,https://en.wikipedia.org/wiki/Azerbaijan
Bahamas,18 September 1973,25°00′N,77°24′W,https://en.wikipedia.org/wiki/The_Bahamas
Bahrain,21 September 1971,26°4′N,50°30′E,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,17 September 1974,24°N,90°E,https://en.wikipedia.org/wiki/Bangladesh
Barbados,9 December 1966,13°10′12″N,59°33′09″W,https://en.wikipedia.org/wiki/Barbados
Belarus,24 October 1945,53°N,27°E,https://en.wikipedia.org/wiki/Belarus
Belgium,27 December 1945,50°50′N,4°00′E,https://en.wikipedia.org/wiki/Belgium
Belize,25 September 1981,17°4′N,88°42′W,https://en.wikipedia.org/wiki/Belize
Benin,20 September 1960,6°28′N,2°36′E,https://en.wikipedia.org/wiki/Benin
Bhutan,21 September 1971,27°25′01″N,90°26′06″E,https://en.wikipedia.org/wiki/Bhutan
Bolivia (Plurinational State of),14 November 1945,16°42′43″S,64°39′58″W,https://en.wikipedia.org/wiki/Bolivia
Bosnia and Herzegovina,22 May 1992,44°N,18°E,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Botswana,17 October 1966,24°39.5′S,25°54.5′E,https://en.wikipedia.org/wiki/Botswana
Brazil,24 October 1945,10°S,52°W,https://en.wikipedia.org/wiki/Brazil
Brunei Darussalam,21 September 1984,4°30′N,114°40′E,https://en.wikipedia.org/wiki/Brunei
Bulgaria,14 December 1955,43°N,25°E,https://en.wikipedia.org/wiki/Bulgaria
Burkina Faso,20 September 1960,12°20′N,1°50′W,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,18 September 1962,3°30′S,30°00′E,https://en.wikipedia.org/wiki/Burundi
Cabo Verde,16 September 1975,15°18′N,23°42′W,https://en.wikipedia.org/wiki/Cape_Verde
Cambodia,14 December 1955,12°34′N,104°59′E,https://en.wikipedia.org/wiki/Cambodia
Cameroon,20 September 1960,6°N,12°E,https://en.wikipedia.org/wiki/Cameroon
Canada,9 November 1945,60°N,110°W,https://en.wikipedia.org/wiki/Canada
Central African Republic,20 September 1960,7°N,21°E,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,20 September 1960,15°N,19°E,https://en.wikipedia.org/wiki/Chad
Chile,24 October 1945,34°S,71°W,https://en.wikipedia.org/wiki/Chile
China,24 October 1945,35°N,103°E,https://en.wikipedia.org/wiki/China
Colombia,5 November 1945,4°N,72°W,https://en.wikipedia.org/wiki/Colombia
Comoros,12 November 1975,12°18′S,43°42′E,https://en.wikipedia.org/wiki/Comoros
Congo,20 September 1960,1°26′24″S,15°33′22″E,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Costa Rica,2 November 1945,10°N,84°W,https://en.wikipedia.org/wiki/Costa_Rica
Côte d'Ivoire,20 September 1960,8°N,5°W,https://en.wikipedia.org/wiki/Ivory_Coast
Croatia,22 May 1992,45°10′N,15°30′E,https://en.wikipedia.org/wiki/Croatia
Cuba,24 October 1945,22°00′N,80°00′W,https://en.wikipedia.org/wiki/Cuba
Cyprus,20 September 1960,35°N,33°E,https://en.wikipedia.org/wiki/Cyprus
Czechia,19 January 1993,49°45′N,15°30′E,https://en.wikipedia.org/wiki/Czech_Republic
Democratic People's Republic of Korea,17 September 1991,40°N,127°E,https://en.wikipedia.org/wiki/Democratic_People%27s_Republic_of_Korea
Democratic Republic of the Congo,20 September 1960,3°S,24°E,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Denmark[b],24 October 1945,,,https://en.wikipedia.org/wiki/Danish_Realm
Djibouti,20 September 1977,11°30′N,43°00′E,https://en.wikipedia.org/wiki/Djibouti
Dominica,18 December 1978,15°25′N,61°20′W,https://en.wikipedia.org/wiki/Dominica
Dominican Republic,24 October 1945,19°00′N,70°40′W,https://en.wikipedia.org/wiki/Dominican_Republic
Ecuador,21 December 1945,2°00′S,77°30′W,https://en.wikipedia.org/wiki/Ecuador
Egypt,24 October 1945,26°N,30°E,https://en.wikipedia.org/wiki/Egypt
El Salvador,24 October 1945,13°41′N,89°11′W,https://en.wikipedia.org/wiki/El_Salvador
Equatorial Guinea,12 November 1968,1°30′N,10°00′E,https://en.wikipedia.org/wiki/Equatorial_Guinea
Eritrea,28 May 1993,15°N,39°E,https://en.wikipedia.org/wiki/Eritrea
Estonia,17 September 1991,59°N,26°E,https://en.wikipedia.org/wiki/Estonia
Eswatini,24 September 1968,26°30′S,31°30′E,https://en.wikipedia.org/wiki/Eswatini
Ethiopia,13 November 1945,9°00′N,38°42′E,https://en.wikipedia.org/wiki/Ethiopia
Fiji,13 October 1970,18°S,179°E,https://en.wikipedia.org/wiki/Fiji
Finland,14 December 1955,64°N,26°E,https://en.wikipedia.org/wiki/Finland
France,24 October 1945,47°N,2°E,https://en.wikipedia.org/wiki/France
Gabon,20 September 1960,1°S,12°E,https://en.wikipedia.org/wiki/Gabon
Gambia (Republic of The),21 September 1965,13°27′00″N,16°34′30″W,https://en.wikipedia.org/wiki/The_Gambia
Georgia,31 July 1992,42°00′N,43°30′E,https://en.wikipedia.org/wiki/Georgia_(country)
Germany,18 September 1973,51°N,9°E,https://en.wikipedia.org/wiki/Germany
Ghana,8 March 1957,8°02′N,1°05′W,https://en.wikipedia.org/wiki/Ghana
Greece,25 October 1945,39°N,22°E,https://en.wikipedia.org/wiki/Greece
Grenada,17 September 1974,12°06′N,61°42′W,https://en.wikipedia.org/wiki/Grenada
Guatemala,21 November 1945,15°30′N,90°15′W,https://en.wikipedia.org/wiki/Guatemala
Guinea,12 December 1958,11°N,10°W,https://en.wikipedia.org/wiki/Guinea
Guinea Bissau,17 September 1974,12°N,15°W,https://en.wikipedia.org/wiki/Guinea-Bissau
Guyana,20 September 1966,5°00′N,58°45′W,https://en.wikipedia.org/wiki/Guyana
Haiti,24 October 1945,19°00′N,72°25′W,https://en.wikipedia.org/wiki/Haiti
Honduras,17 December 1945,15°00′N,86°30′W,https://en.wikipedia.org/wiki/Honduras
Hungary,14 December 1955,47°N,20°E,https://en.wikipedia.org/wiki/Hungary
Iceland,19 November 1946,65°N,18°W,https://en.wikipedia.org/wiki/Iceland
India,30 October 1945,21°N,78°E,https://en.wikipedia.org/wiki/India
Indonesia,28 September 1950,5°S,120°E,https://en.wikipedia.org/wiki/Indonesia
Iran (Islamic Republic of),24 October 1945,32°N,53°E,https://en.wikipedia.org/wiki/Iran
Iraq,21 December 1945,33°N,44°E,https://en.wikipedia.org/wiki/Iraq
Ireland,14 December 1955,53°N,8°W,https://en.wikipedia.org/wiki/Republic_of_Ireland
Israel,11 May 1949,31°N,35°E,https://en.wikipedia.org/wiki/Israel
Italy,14 December 1955,43°N,12°E,https://en.wikipedia.org/wiki/Italy
Jamaica,18 September 1962,18°10′48″N,77°24′00″W,https://en.wikipedia.org/wiki/Jamaica
Japan,18 December 1956,36°N,138°E,https://en.wikipedia.org/wiki/Japan
Jordan,14 December 1955,31°14′N,36°31′E,https://en.wikipedia.org/wiki/Jordan
Kazakhstan,2 March 1992,48°N,68°E,https://en.wikipedia.org/wiki/Kazakhstan
Kenya,16 December 1963,1°N,38°E,https://en.wikipedia.org/wiki/Kenya
Kiribati,14 September 1999,1°25′N,173°00′E,https://en.wikipedia.org/wiki/Kiribati
Kuwait,14 May 1963,29°30′N,47°45′E,https://en.wikipedia.org/wiki/Kuwait
Kyrgyzstan,2 March 1992,41°N,75°E,https://en.wikipedia.org/wiki/Kyrgyzstan
Lao People's Democratic Republic,14 December 1955,18°N,105°E,https://en.wikipedia.org/wiki/Laos
Latvia,17 September 1991,57°N,25°E,https://en.wikipedia.org/wiki/Latvia
Lebanon,24 October 1945,33°50′N,35°50′E,https://en.wikipedia.org/wiki/Lebanon
Lesotho,17 October 1966,29°36′S,28°18′E,https://en.wikipedia.org/wiki/Lesotho
Liberia,2 November 1945,6°30′N,9°30′W,https://en.wikipedia.org/wiki/Liberia
Libya,14 December 1955,27°N,17°E,https://en.wikipedia.org/wiki/Libya
Liechtenstein,18 September 1990,47°9′N,9°33′E,https://en.wikipedia.org/wiki/Liechtenstein
Lithuania,17 September 1991,55°N,24°E,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,24 October 1945,49°49′N,6°08′E,https://en.wikipedia.org/wiki/Luxembourg
Madagascar,20 September 1960,20°S,47°E,https://en.wikipedia.org/wiki/Madagascar
Malawi,1 December 1964,13°30′S,34°00′E,https://en.wikipedia.org/wiki/Malawi
Malaysia,17 September 1957,2°N,112°E,https://en.wikipedia.org/wiki/Malaysia
Maldives,21 September 1965,4°11′N,73°31′E,https://en.wikipedia.org/wiki/Maldives
Mali,28 September 1960,17°N,4°W,https://en.wikipedia.org/wiki/Mali
Malta,1 December 1964,35°54′N,14°31′E,https://en.wikipedia.org/wiki/Malta
Marshall Islands,17 September 1991,9°49′N,169°17′E,https://en.wikipedia.org/wiki/Marshall_Islands
Mauritania,27 October 1961,20°N,12°W,https://en.wikipedia.org/wiki/Mauritania
Mauritius,24 April 1968,20°12′S,57°30′E,https://en.wikipedia.org/wiki/Mauritius
Mexico,7 November 1945,23°N,102°W,https://en.wikipedia.org/wiki/Mexico
Micronesia (Federated States of),17 September 1991,6°55′N,158°15′E,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia
Monaco,28 May 1993,43°43′52″N,07°25′12″E,https://en.wikipedia.org/wiki/Monaco
Mongolia,27 October 1961,48°N,106°E,https://en.wikipedia.org/wiki/Mongolia
Montenegro,28 June 2006,42°30′N,19°18′E,https://en.wikipedia.org/wiki/Montenegro
Morocco,12 November 1956,32°N,6°W,https://en.wikipedia.org/wiki/Morocco
Mozambique,16 September 1975,18°15′S,35°00′E,https://en.wikipedia.org/wiki/Mozambique
Myanmar,19 April 1948,22°N,96°E,https://en.wikipedia.org/wiki/Myanmar
Namibia,23 April 1990,22°S,17°E,https://en.wikipedia.org/wiki/Namibia
Nauru,14 September 1999,0°31′41″S,166°56′13″E,https://en.wikipedia.org/wiki/Nauru
Nepal,14 December 1955,28°10′N,84°15′E,https://en.wikipedia.org/wiki/Nepal
Netherlands (Kingdom of the)[b],10 December 1945,52°N,6°E,https://en.wikipedia.org/wiki/Netherlands
New Zealand[b],24 October 1945,42°S,173°E,https://en.wikipedia.org/wiki/New_Zealand
Nicaragua,24 October 1945,13°N,85°W,https://en.wikipedia.org/wiki/Nicaragua
Niger,20 September 1960,16°N,08°E,https://en.wikipedia.org/wiki/Niger
Nigeria,7 October 1960,8°N,10°E,https://en.wikipedia.org/wiki/Nigeria
North Macedonia,8 April 1993,42°N,22°E,https://en.wikipedia.org/wiki/North_Macedonia
Norway,27 November 1945,61°N,8°E,https://en.wikipedia.org/wiki/Norway
Oman,7 October 1971,21°N,57°E,https://en.wikipedia.org/wiki/Oman
Pakistan,30 September 1947,30°N,70°E,https://en.wikipedia.org/wiki/Pakistan
Palau,15 December 1994,7°30′N,134°30′E,https://en.wikipedia.org/wiki/Palau
Panama,13 November 1945,9°N,80°W,https://en.wikipedia.org/wiki/Panama
Papua New Guinea,10 October 1975,6°S,147°E,https://en.wikipedia.org/wiki/Papua_New_Guinea
Paraguay,24 October 1945,23°S,58°W,https://en.wikipedia.org/wiki/Paraguay
Peru,31 October 1945,10°S,76°W,https://en.wikipedia.org/wiki/Peru
Philippines,24 October 1945,13°N,122°E,https://en.wikipedia.org/wiki/Philippines
Poland,24 October 1945,52°N,20°E,https://en.wikipedia.org/wiki/Poland
Portugal,14 December 1955,39°N,8°W,https://en.wikipedia.org/wiki/Portugal
Qatar,21 September 1971,25°30′N,51°15′E,https://en.wikipedia.org/wiki/Qatar
Republic of Korea,17 September 1991,36°N,128°E,https://en.wikipedia.org/wiki/Republic_of_Korea
Republic of Moldova,2 March 1992,47°N,29°E,https://en.wikipedia.org/wiki/Moldova
Romania,14 December 1955,46°N,25°E,https://en.wikipedia.org/wiki/Romania
Russian Federation,24 October 1945,66°N,94°E,https://en.wikipedia.org/wiki/Russia
Rwanda,18 September 1962,2°S,30°E,https://en.wikipedia.org/wiki/Rwanda
Saint Kitts and Nevis,23 September 1983,17°20′N,62°45′W,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Saint Lucia,18 September 1979,13°53′00″N,60°58′00″W,https://en.wikipedia.org/wiki/Saint_Lucia
Saint Vincent and the Grenadines,16 September 1980,13°15′N,61°12′W,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Samoa,15 December 1976,13°44′42″S,172°13′03″W,https://en.wikipedia.org/wiki/Samoa
San Marino,2 March 1992,43°56′N,12°26′E,https://en.wikipedia.org/wiki/San_Marino
Sao Tome and Principe,16 September 1975,0°19′N,6°36′E,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Saudi Arabia,24 October 1945,24°N,45°E,https://en.wikipedia.org/wiki/Saudi_Arabia
Senegal,28 September 1960,14°N,14°W,https://en.wikipedia.org/wiki/Senegal
Serbia,1 November 2000,44°N,21°E,https://en.wikipedia.org/wiki/Serbia
Seychelles,21 September 1976,4°35′S,55°40′E,https://en.wikipedia.org/wiki/Seychelles
Sierra Leone,27 September 1961,08°30′00″N,12°06′00″W,https://en.wikipedia.org/wiki/Sierra_Leone
Singapore,21 September 1965,1°17′N,103°50′E,https://en.wikipedia.org/wiki/Singapore
Slovakia,19 January 1993,48°40′N,19°30′E,https://en.wikipedia.org/wiki/Slovakia
Slovenia,22 May 1992,46°07′12″N,14°48′54″E,https://en.wikipedia.org/wiki/Slovenia
Solomon Islands,19 September 1978,8°S,159°E,https://en.wikipedia.org/wiki/Solomon_Islands
Somalia,20 September 1960,10°N,49°E,https://en.wikipedia.org/wiki/Somalia
South Africa,7 November 1945,30°S,25°E,https://en.wikipedia.org/wiki/South_Africa
South Sudan,14 July 2011,8°N,30°E,https://en.wikipedia.org/wiki/South_Sudan
Spain,14 December 1955,40°N,4°W,https://en.wikipedia.org/wiki/Spain
Sri Lanka,14 December 1955,7°N,81°E,https://en.wikipedia.org/wiki/Sri_Lanka
Sudan,12 November 1956,15°N,032°E,https://en.wikipedia.org/wiki/Sudan
Suriname,4 December 1975,4°N,56°W,https://en.wikipedia.org/wiki/Suriname
Sweden,19 November 1946,63°N,16°E,https://en.wikipedia.org/wiki/Sweden
Switzerland,10 September 2002,46°50′N,8°20′E,https://en.wikipedia.org/wiki/Switzerland
Syrian Arab Republic[c],24 October 1945,35°N,38°E,https://en.wikipedia.org/wiki/Syria
Tajikistan,2 March 1992,39°N,71°E,https://en.wikipedia.org/wiki/Tajikistan
Thailand,16 December 1946,15°N,101°E,https://en.wikipedia.org/wiki/Thailand
Timor-Leste,27 September 2002,8°33′S,125°34′E,https://en.wikipedia.org/wiki/Timor-Leste
Togo,20 September 1960,8°N,1°E,https://en.wikipedia.org/wiki/Togo
Tonga,14 September 1999,20°S,175°W,https://en.wikipedia.org/wiki/Tonga
Trinidad and Tobago,18 September 1962,10°36′N,61°6′W,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Tunisia,12 November 1956,34°N,9°E,https://en.wikipedia.org/wiki/Tunisia
Türkiye,24 October 1945,39°55′N,32°51′E,https://en.wikipedia.org/wiki/Turkey
Turkmenistan,2 March 1992,39°N,60°E,https://en.wikipedia.org/wiki/Turkmenistan
Tuvalu,5 September 2000,8°31′15″S,179°11′55″E,https://en.wikipedia.org/wiki/Tuvalu
Uganda,25 October 1962,1°N,32°E,https://en.wikipedia.org/wiki/Uganda
Ukraine,24 October 1945,50°27′N,30°31′E,https://en.wikipedia.org/wiki/Ukraine
United Arab Emirates,9 December 1971,24°N,54°E,https://en.wikipedia.org/wiki/United_Arab_Emirates
United Kingdom of Great Britain and Northern Ireland,24 October 1945,55°N,3°W,https://en.wikipedia.org/wiki/United_Kingdom
United Republic of Tanzania,14 December 1961,6°S,35°E,https://en.wikipedia.org/wiki/Tanzania
United States of America,24 October 1945,40°N,100°W,https://en.wikipedia.org/wiki/United_States
Uruguay,18 December 1945,33°S,57°W,https://en.wikipedia.org/wiki/Uruguay
Uzbekistan,2 March 1992,42°N,64°E,https://en.wikipedia.org/wiki/Uzbekistan
Vanuatu,15 September 1981,17°S,168°E,https://en.wikipedia.org/wiki/Vanuatu
Bolivarian Republic of Venezuela,15 November 1945,7°N,65°W,https://en.wikipedia.org/wiki/Venezuela
Viet Nam,20 September 1977,16°N,108°E,https://en.wikipedia.org/wiki/Vietnam
Yemen,30 September 1947,15°20′54″N,44°12′23″E,https://en.wikipedia.org/wiki/Yemen
Zambia,1 December 1964,15°S,30°E,https://en.wikipedia.org/wiki/Zambia
Zimbabwe,25 August 1980,19°S,30°E,https://en.wikipedia.org/wiki/Zimbabwe
